testReq,
ما هو حق المؤلف؟,"يهدف حق المؤلف إلى حماية المؤلفين (الكتاب، الفنانون، الملحنون) في ابتكاراتهم. ويطلق على هذه
الابتكارات عادة اسم ""المصنفات""."
ما هي المصنفات التي تشملها الحماية بموجب حق المؤلف؟,تشمل المصنفات المحمية بحق المؤلف ما يلي ذكره على سبيل المثال لا الحصر: الروايات وقصائد الشعر والمسرحيات والمراجع والصحف وقواعد البيانات والأفلام والمؤلفات الموسيقية وتصاميم الرقصات والألواح الزيتية والرسوم والصور الشمسية والمنحوتات ومصنفات الهندسة المعمارية والإعلانات والخرائط والرسوم التقنية. كما تشمل الحماية بحق المؤلف برامج الحاسوب أيضًا.
ما هي الابتكارات الفكرية المحمية بموجب حق المؤلف؟,"1 -المصنفات الأدبية والفنية والعلمية 
2 -منجزات الفنانين القائمين بالأداء والفونوغرامات وبرامج الإذاعة والتلفزيون
3 -الاختراعات في جميع مجالات الاجتهاد الإنساني
4 -الاكتشافات العلمية
5 -الرسوم والنماذج الصناعية
6 -العلامات التجارية وعلامات الخدمة والأسماء والسمات التجارية
7 -الحماية من المنافسة غير المشروعة
8 -وجميــع الحقـوق الأخــرى الناتجـة عــن النشــاط الفكــري فــي المجــالات الصــناعية
والعلمية والأدبية والفنية."
ما هي فئات الحقوق التي يشملها حق المؤلف؟,حقوق مالية تتيح لصاحبها الأنتفاع المالي بالمصنف وهناك حقوق معنوية التي تبين العلاقة الشخصية بين المؤلف والمصنف
ماهي الحقوق المالية التي ينطوي عليها حق الؤلف؟,تتيح الحقوق المالية لأصحابها الانتفاع بالمصنف أو التصريح للغير بالانتفاع به بناء على شروط متفق عليها
ما هي صلاحيات أصحاب الحقوق المالية؟,"يمكنهم منع أو التصريح بـ: 
- استنساخ المصنف بكل الأشكال، ومنها الطباعة والتسجيل الصوتي والتسـجيل علـى أقـراص الفيـديو أو
الأقراص المدمجة، أو التخزين في ذاكرة الحاسوب.
- توزيع المصنف من خلال بيع نسخ منه للعامة.
- أداء المصنف علناً خلال حفلة موسيقية أو مسرحية مثلا.
ٕ - إذاعة المصنف ونقله إلى الجمهور من خلال الراديو أو التلفزيون أو الكبل أو الساتل.
- ترجمة المصنف إلى لغات أخرى.
- تحوير المصنف كتحويل رواية إلى سيناريو."
"ماهي الحقوق المعنوية التي تشمل حق الؤلف؟
",تشمل الحقوق المعنوية الحق في أبوة المصنف بأن يذكر اسم المؤلف على المصنف وكذلك الحق في احترام المصنف بأن يمنح المؤلف الحق بالاعتراض على كل استعمال أو تعديل للمصنف يسيء إلى سمعة المؤلف أو شرفه.
ماهي طرق الانتفاع بالحقوق المالية؟,"ينقل المبدعون والمؤلفون حقوقهم إلى شركات بواسطة عقود ومقابل مكافآت ، وتتخذ هذه المكافآت أشكالاً متعددة تتراوح بين مبلغ مقطوع من المال ، أو إتاوات بطريقة نسبية بالاستناد إلى الأرباح التي يحققها المصنف "
ماﻫﻲ مدة الحماية المالية في معاهدات الويبو بموجب حق المؤلف؟,تبدأ المدة بمجرد إيداع المصنف وتثبيته.
